link	length	PCE	speed
617	0.1846	0.0000	50.0000
618	0.5301	0.0000	50.0000
619	0.3108	0.0000	50.0000
620	0.3466	244.2644	69.9964
621	0.0034	25.9915	30.0000
622	0.0059	25.9915	30.0000
623	0.0234	25.9915	30.0000
624	0.0264	118.7509	29.9999
625	0.0241	92.7593	49.9999
626	0.0125	25.9915	30.0000
627	0.2744	0.0000	30.0000
628	0.0965	92.7594	30.0000
629	0.3292	187.3630	49.9991
630	0.2087	145.1545	49.9997
631	0.0242	115.7709	69.9998
632	0.0172	199.7096	119.9973
633	0.0711	315.4805	69.9994
634	0.0259	0.0000	50.0000
635	0.0393	0.0000	50.0000
636	0.0686	0.0000	50.0000
637	0.1293	0.0000	50.0000
638	0.0131	524.3239	49.9966
639	0.0084	524.3239	49.9966
640	0.0448	579.3147	49.9950
641	0.0062	579.3147	49.9950
642	0.0081	579.3147	49.9950
643	0.0383	593.2804	49.9116
644	0.0159	592.2738	49.9122
645	0.0379	592.2738	49.9122
646	0.0371	593.2804	29.9470
647	0.0438	575.5305	29.9530
648	0.0163	579.6456	29.9517
649	0.0109	575.5305	29.9530
650	0.0465	598.0078	49.9088
651	0.0217	547.5331	49.9359
652	0.0311	491.4140	49.9584
653	0.0744	587.6371	49.9150
654	0.0643	371.8321	69.9988
655	0.0158	256.0612	119.9926
656	0.1015	0.0000	50.0000
657	0.0556	0.0000	50.0000
658	0.0777	0.0000	50.0000
659	0.1486	0.0000	50.0000
660	0.0223	0.0000	50.0000
661	0.0759	0.0000	50.0000
662	0.0082	0.0000	50.0000
663	0.0075	0.0000	20.0000
664	0.0405	315.4805	69.9901
665	0.1250	315.4805	69.9901
666	0.0404	315.4805	69.9901
667	0.0105	257.6274	69.9956
668	0.0338	119.8226	49.9999
669	0.0227	377.4499	69.9797
670	0.0262	0.0000	50.0000
671	0.0173	363.4412	69.9826
672	0.0334	105.8139	49.9999
673	0.1283	0.0000	50.0000
674	0.0166	0.0000	50.0000
675	0.0830	0.0000	50.0000
676	0.1169	0.0000	50.0000
677	0.1095	0.0000	50.0000
678	0.0352	51.7431	70.0000
679	0.0079	91.2751	69.9999
680	0.0718	91.2751	69.9999
681	0.0389	0.0000	20.0000
682	0.1461	20.5640	50.0000
683	0.0638	25.9280	30.0000
684	0.0545	0.0000	50.0000
685	0.0102	147.8112	29.9998
686	0.0293	147.8112	29.9998
687	0.0505	18.4434	50.0000
688	0.4772	18.6085	50.0000
689	0.0179	0.0000	50.0000
690	0.7478	0.0000	50.0000
691	0.4150	0.0000	50.0000
692	0.6907	0.0030	50.0000
693	0.0939	0.0023	50.0000
694	0.2550	1.2687	50.0000
695	0.1066	7.7997	50.0000
696	0.0091	0.0000	70.0000
697	0.4015	0.0000	50.0000
698	0.2243	0.0000	70.0000
699	0.1855	0.0000	50.0000
700	0.1158	0.0000	50.0000
701	0.3021	0.0000	70.0000
702	0.2858	0.0000	70.0000
703	0.0096	0.0000	30.0000
704	0.0716	0.0000	30.0000
705	0.1667	0.0000	30.0000
706	0.0082	88.5301	30.0000
707	0.0432	0.0000	50.0000
708	0.0651	0.0000	50.0000
709	0.0911	34.3437	30.0000
710	0.0626	1.3480	30.0000
711	0.0897	6.9230	30.0000
712	0.0260	862.2892	49.9753
713	0.0354	862.2892	49.9753
714	0.3980	0.0000	50.0000
715	0.1615	68.0372	50.0000
716	0.4377	0.0271	50.0000
717	0.4350	109.2690	49.9999
718	0.2154	1.1610	50.0000
719	0.2787	196.2790	69.9985
720	0.4589	176.0043	69.9990
721	0.3216	5.0102	50.0000
722	0.5599	3.9206	50.0000
723	0.4063	174.8134	69.9991
724	0.1144	14.6617	50.0000
725	0.1680	11.0210	50.0000
726	0.1697	0.0000	50.0000
727	0.1008	0.0001	50.0000
728	0.1149	0.0000	30.0000
729	0.0460	0.0000	30.0000
730	0.0945	0.0000	50.0000
731	0.0116	11.1124	50.0000
732	0.3309	18.9089	50.0000
733	0.0561	615.5800	69.9982
734	0.0139	94.1284	49.9999
735	0.0204	586.0767	69.8822
736	0.0098	153.9791	50.0000
737	0.0759	455.3558	69.9973
738	0.1132	473.0042	69.9994
739	0.7116	328.0021	119.9802
740	0.1147	0.0000	30.0000
741	0.0614	0.0000	30.0000
742	0.0156	242.7406	49.9975
743	0.0282	348.4789	49.9993
744	0.0311	390.3166	49.9990
745	0.0387	634.3328	49.9928
746	0.0359	308.3366	49.9996
747	0.0628	0.0000	50.0000
748	0.0516	0.0000	50.0000
749	0.1375	34.9158	50.0000
750	0.0473	20.9708	30.0000
751	0.0214	602.2775	49.9988
752	0.1923	602.2775	69.9984
753	0.0083	0.0000	50.0000
754	0.0055	0.0000	50.0000
755	0.0019	0.0000	50.0000
756	0.1138	15.6138	30.0000
757	0.0399	0.1029	30.0000
758	0.3520	602.2775	69.9918
759	0.0593	141.5415	70.0000
760	0.2448	460.7360	69.9550
761	0.0283	0.1131	30.0000
762	0.0936	0.0000	30.0000
763	0.0957	0.0000	30.0000
764	0.0848	12.6167	30.0000
765	0.1290	0.7916	30.0000
766	0.2479	83.9976	30.0000
767	0.4016	1.7432	30.0000
768	0.0837	821.8336	69.9715
769	0.0419	232.8036	69.9971
770	0.0747	232.8036	69.9998
771	0.0506	821.8336	69.9944
772	0.1131	0.0000	120.0000
773	0.0447	239.3796	119.9996
774	0.3571	593.8309	69.9922
775	0.6475	593.8309	69.9922
776	0.0418	515.0809	89.9943
777	0.0128	515.0809	89.9943
778	0.7064	0.0000	50.0000
779	0.3881	0.0000	50.0000
780	0.1499	0.0000	50.0000
781	0.0352	338.7264	49.9994
782	0.0416	251.8255	49.9971
783	0.0598	0.0000	50.0000
784	0.2183	19.6536	50.0000
785	0.1618	0.0000	50.0000
786	0.2028	10.5194	50.0000
787	0.1188	0.0000	50.0000
788	0.0587	0.0000	50.0000
789	0.0672	58.9356	50.0000
790	0.0604	0.0000	50.0000
791	0.1370	78.0237	50.0000
792	0.1593	0.0000	50.0000
793	0.3586	0.0000	50.0000
794	0.1375	0.0000	50.0000
795	0.0063	0.0000	50.0000
796	0.2574	0.0000	50.0000
797	0.0104	280.1338	119.9894
798	0.1285	480.2108	69.9469
799	0.0638	496.3630	119.9935
800	0.0114	263.9817	69.9951
801	0.2314	47.2785	50.0000
802	0.2937	0.0000	50.0000
803	0.0168	0.0000	50.0000
804	0.1882	0.0000	50.0000
805	0.4699	70.1717	50.0000
806	0.4032	25.2555	50.0000
807	0.6077	26.2361	50.0000
808	0.1330	0.0000	50.0000
809	0.4312	78.0237	50.0000
810	0.0923	58.9356	50.0000
811	0.3139	0.0000	30.0000
812	0.2280	58.9356	30.0000
813	0.2488	5.6966	50.0000
814	0.4472	9.3097	50.0000
815	0.0437	0.0000	50.0000
816	0.2122	26.2361	50.0000
817	0.0925	59.9758	50.0000
818	0.1727	12.7110	50.0000
