	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
[RCAM]	180.67	179.66	178.57	177.38	176.08	173.43	170.66	167.78	164.78	161.69	158.43	155.03	151.49	147.83	144.09	140.28	136.35	132.32	128.23	124.11	120.00	115.91	111.88	107.92	104.05	100.27	96.60	93.05	89.62	86.31	83.07	79.92	76.86	73.88	70.97	
[BRA]	186.64	185.26	183.74	182.08	180.29	177.24	174.02	170.66	167.18	163.64	160	156.26	152.45	148.57	144.71	140.67	136.61	132.52	128.43	124.39	120.41	116.50	112.66	108.92	105.29	101.77	98.36	95.06	91.87	88.77	85.73	82.74	79.80	76.90	74.05	
[RSAM]	185.22	183.85	182.33	180.66	178.86	175.76	172.51	169.12	165.61	162.05	158.38	154.62	150.78	146.89	143.00	139.01	135.00	130.96	126.93	122.94	119.01	115.16	111.38	107.69	104.10	100.62	97.24	93.97	90.81	87.73	84.72	81.75	78.83	75.97	73.14	
[NDE]	187.41	186.13	184.71	183.15	181.46	178.01	174.37	170.55	166.58	162.53	158.34	154.01	149.58	145.05	140.52	136.11	131.68	127.24	122.81	118.43	114.12	109.88	105.74	101.71	97.80	93.99	90.29	86.70	83.22	79.86	76.61	73.47	70.43	67.47	64.59	
[RSAS]	198.29	197.22	196.04	194.75	193.34	190.40	187.31	184.09	180.73	177.25	173.57	169.70	165.67	161.51	157.24	152.76	148.15	143.45	138.69	133.91	129.15	124.44	119.80	115.25	110.82	106.52	102.36	98.35	94.49	90.78	87.18	83.69	80.29	77.00	73.80	
[COR]	172.75	171.56	170.23	168.74	167.10	163.89	160.47	156.88	153.12	149.26	145.24	141.08	136.81	132.45	128.09	123.92	119.76	115.64	111.58	107.62	103.77	100.04	96.45	92.98	89.66	86.43	83.28	80.22	77.23	74.31	71.47	68.68	65.96	63.30	60.69	
[IDN]	191.78	190.30	188.59	186.65	184.52	180.80	176.88	172.79	168.55	164.22	159.76	155.17	150.49	145.73	140.97	136.18	131.43	126.72	122.06	117.50	113.06	108.73	104.54	100.48	96.58	92.78	89.10	85.53	82.09	78.76	75.54	72.44	69.42	66.50	63.66	
[OSEA]	189.10	187.98	186.67	185.18	183.51	180.19	176.69	173.02	169.19	165.23	161.04	156.67	152.13	147.46	142.71	137.96	133.17	128.38	123.61	118.88	114.24	109.69	105.26	100.96	96.80	92.75	88.81	85.00	81.32	77.76	74.33	71.03	67.85	64.79	61.84	
[CHN]	168.48	167.21	165.75	164.09	162.27	159.11	155.79	152.32	148.72	145.06	141.28	137.39	133.42	129.38	125.34	121.27	117.21	113.18	109.19	105.26	101.43	97.68	94.05	90.52	87.13	83.83	80.63	77.53	74.53	71.64	68.85	66.16	63.54	61.00	58.53	
[EGY]	185.91	185.01	184.04	182.99	181.87	179.30	176.64	173.89	171.03	168.07	164.92	161.60	158.11	154.47	150.71	146.71	142.54	138.24	133.83	129.37	124.88	120.40	115.95	111.57	107.26	103.06	98.98	95.03	91.21	87.54	83.96	80.47	77.09	73.81	70.64	
[NOAP]	180.46	179.64	178.74	177.78	176.75	174.18	171.51	168.74	165.88	162.93	159.78	156.46	152.98	149.35	145.61	141.81	137.84	133.74	129.54	125.28	121.00	116.73	112.49	108.32	104.22	100.23	96.35	92.60	88.99	85.50	82.11	78.81	75.60	72.50	69.49	
[NOAN]	185.62	184.77	183.91	183.02	182.10	179.75	177.32	174.79	172.18	169.47	166.64	163.67	160.59	157.39	154.10	150.61	146.97	143.22	139.38	135.49	131.47	127.37	123.22	119.07	114.93	110.84	106.83	102.90	99.07	95.35	91.75	88.28	84.93	81.71	78.61	
[MEME]	184.52	183.19	181.72	180.11	178.37	175.15	171.79	168.30	164.71	161.07	157.34	153.53	149.65	145.72	141.81	137.83	133.82	129.79	125.75	121.75	117.79	113.89	110.07	106.32	102.66	99.12	95.68	92.36	89.15	86.05	83.02	80.07	77.17	74.34	71.56	
[GOLF]	184.35	182.95	181.33	179.49	177.44	173.84	170.03	166.03	161.86	157.57	153.12	148.53	143.81	138.99	134.15	129.30	124.47	119.71	115.03	110.51	106.15	101.99	98.03	94.28	90.72	87.30	84.00	80.80	77.70	74.68	71.73	68.84	66.03	63.27	60.58	
[ZAF]	196.64	195.10	193.38	191.51	189.48	185.88	182.11	178.20	174.18	170.13	165.99	161.78	157.52	153.23	148.99	144.68	140.37	136.06	131.78	127.56	123.41	119.33	115.34	111.42	107.60	103.88	100.26	96.74	93.31	90.00	86.74	83.54	80.41	77.34	74.33	
[RSAF]	197.62	196.71	195.77	194.80	193.80	191.28	188.66	185.95	183.14	180.23	177.18	173.99	170.67	167.22	163.68	159.91	155.98	151.93	147.78	143.58	139.25	134.82	130.35	125.86	121.40	117.00	112.67	108.43	104.31	100.30	96.43	92.70	89.09	85.63	82.29	
